Provincia,Accesos por cada 100 hogares,Target
Buenos Aires,79.84,81.44
Capital Federal,116.37,118.7
Catamarca,68.81,70.19
Chaco,44.06,44.94
Chubut,86.33,88.06
Córdoba,90.79,92.61
Corrientes,51.38,52.41
Entre Ríos,68.64,70.01
Formosa,39.69,40.48
Jujuy,58.3,59.47
La Pampa,101.17,103.19
La Rioja,79.52,81.11
Mendoza,52.3,53.35
Misiones,57.73,58.88
Neuquén,78.93,80.51
Río Negro,71.35,72.78
Salta,55.72,56.83
San Juan,51.17,52.19
San Luis,103.4,105.47
Santa Cruz,69.92,71.32
Santa Fe,81.34,82.97
Santiago Del Estero,49.67,50.66
Tierra Del Fuego,108.89,111.07
Tucumán,60.84,62.06
