Provincia,ADSL,Cablemodem,Fibra óptica,Otros,Wireless
Tierra Del Fuego,15.22,77.96,5.99,0.54,0.29
Capital Federal,4.18,78.23,14.63,2.65,0.3
Chubut,15.15,45.79,15.33,5.76,17.97
San Luis,2.57,25.92,20.97,0.19,50.34
Entre Ríos,11.49,53.68,22.8,3.91,8.11
Santiago Del Estero,4.8,64.37,22.84,2.34,5.65
Corrientes,10.57,54.66,24.83,3.35,6.59
Neuquén,14.53,44.54,25.43,0.57,14.93
La Rioja,2.89,63.32,26.46,0.03,7.3
Formosa,14.03,29.76,29.35,0.37,26.48
La Pampa,5.55,47.93,29.65,0.9,15.97
Salta,10.81,48.9,31.23,3.22,5.84
Buenos Aires,4.29,54.57,37.07,1.3,2.78
Río Negro,12.13,28.99,39.21,9.23,10.44
Misiones,10.78,37.64,41.28,3.37,6.93
Santa Fe,9.46,42.97,41.33,1.46,4.78
San Juan,11.92,16.7,42.65,6.54,22.19
Córdoba,9.05,41.18,43.2,0.88,5.69
Jujuy,8.44,43.1,43.99,1.02,3.45
Chaco,6.87,38.62,44.08,4.88,5.55
Santa Cruz,9.49,17.46,60.54,0.81,11.7
Mendoza,5.85,22.77,61.94,0.31,9.14
Catamarca,7.23,14.22,76.59,0.11,1.85
Tucumán,11.6,7.75,78.97,0.19,1.49
